Provinsi,Rumah Sakit,Puskesmas,Dokter Praktik Perorangan,Klinik Utama,Klinik Pratama,Apotek,Total
Aceh,70,359,78,4,117,492,1120
Sumatera Utara,222,608,125,74,1491,1431,3951
Sumatera Barat,79,276,108,19,225,571,1278
Riau,73,231,81,16,160,771,1332
Jambi,42,207,71,10,157,418,905
Sumatera Selatan,87,343,232,16,395,614,1687
Bengkulu,25,179,89,6,59,288,646
Lampung,80,312,129,13,408,655,1597
Kepulauan Bangka Belitung,25,64,31,16,78,200,414
Kepulauan Riau,36,88,8,19,292,305,748
DKI Jakarta,193,315,16,282,786,2055,3647
Jawa Barat,377,1.083,495,175,1088,4874,8092
Jawa Tengah,319,878,1089,142,1375,3768,7571
Daerah Istimewa Yogyakarta,85,121,105,22,193,603,1129
Jawa Timur,395,968,701,45,850,4250,7209
Banten,120,245,10,32,953,1632,2992
Bali,72,120,304,42,237,885,1660
Nusa Tenggara Barat,39,174,96,26,95,530,960
Nusa Tenggara Timur,54,410,91,4,98,379,1036
Kalimantan Barat,55,246,79,8,96,339,823
Kalimantan Tengah,28,205,72,18,189,153,665
Kalimantan Selatan,47,236,150,6,40,494,973
Kalimantan Timur,57,187,114,6,279,724,1367
Kalimantan Utara,11,55,29,0,10,86,191
Sulawesi Utara,51,195,157,3,23,284,713
Sulawesi Tengah,40,207,43,16,50,437,793
Sulawesi Selatan,116,461,186,67,220,1329,2379
Sulawesi Tenggara,37,292,65,6,59,489,948
Gorontalo,16,93,27,3,35,183,357
Sulawesi Barat,13,96,29,0,2,130,270
Maluku,33,215,30,4,38,175,495
Maluku Utara,21,147,29,0,3,145,345
Papua Barat,20,161,19,3,33,169,405
Papua,47,428,60,6,104,341,986
Indonesia,2985,10205,4948,1109,10238,30199,59684
